=== COMBAT STATE LOG ===
Dumped at: 2026-05-16 04:55:45.793
Frame: 11019

[F:10719] State=A@0.795 InTrans=True Next=B@0.50/dur0.05 | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.82
[F:10752] State=B@0.105 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10753] State=B@0.106 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10754] State=B@0.108 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10755] State=B@0.110 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10756] State=B@0.112 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10757] State=B@0.114 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.84
[F:10758] State=B@0.116 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10759] State=B@0.118 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10760] State=B@0.120 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10761] State=B@0.122 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10762] State=B@0.124 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10763] State=B@0.126 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10764] State=B@0.127 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10765] State=B@0.129 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10766] State=B@0.132 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10767] State=B@0.135 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10768] State=B@0.137 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10769] State=B@0.139 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10770] State=B@0.141 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.85
[F:10771] State=B@0.143 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10772] State=B@0.145 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10773] State=B@0.147 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10774] State=B@0.149 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10775] State=B@0.151 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10776] State=B@0.153 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10777] State=B@0.155 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10778] State=B@0.157 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10779] State=B@0.159 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10780] State=B@0.160 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10781] State=B@0.163 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10782] State=B@0.165 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10783] State=B@0.167 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.86
[F:10784] State=B@0.169 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10785] State=B@0.171 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10786] State=B@0.173 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10787] State=B@0.175 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10788] State=B@0.177 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10789] State=B@0.178 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10790] State=B@0.180 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10791] State=B@0.182 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10792] State=B@0.184 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10793] State=B@0.186 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10794] State=B@0.188 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10795] State=B@0.190 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10796] State=B@0.192 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10797] State=B@0.194 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.87
[F:10798] State=B@0.196 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10799] State=B@0.198 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10800] State=B@0.200 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10801] State=B@0.202 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10802] State=B@0.204 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10803] State=B@0.206 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10804] State=B@0.208 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10805] State=B@0.210 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10806] State=B@0.212 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10807] State=B@0.213 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10808] State=B@0.216 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10809] State=B@0.217 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10810] State=B@0.219 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.88
[F:10811] State=B@0.222 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10812] State=B@0.224 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10813] State=B@0.226 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10814] State=B@0.228 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10815] State=B@0.230 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10816] State=B@0.231 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10817] State=B@0.233 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10818] State=B@0.235 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10819] State=B@0.237 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10820] State=B@0.239 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10821] State=B@0.241 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10822] State=B@0.243 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10823] State=B@0.245 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10824] State=B@0.247 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.89
[F:10825] State=B@0.249 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10826] State=B@0.251 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10827] State=B@0.253 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10828] State=B@0.255 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10829] State=B@0.257 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10830] State=B@0.259 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10831] State=B@0.261 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10832] State=B@0.263 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10833] State=B@0.264 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10834] State=B@0.266 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10835] State=B@0.268 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10836] State=B@0.270 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10837] State=B@0.272 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10838] State=B@0.274 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.90
[F:10839] State=B@0.276 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10840] State=B@0.278 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10841] State=B@0.280 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10842] State=B@0.282 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10843] State=B@0.283 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10844] State=B@0.286 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10845] State=B@0.288 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10846] State=B@0.290 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10847] State=B@0.292 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10848] State=B@0.294 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10849] State=B@0.296 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10850] State=B@0.298 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10851] State=B@0.300 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.91
[F:10852] State=B@0.302 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10853] State=B@0.304 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10854] State=B@0.306 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10855] State=B@0.308 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10856] State=B@0.310 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10857] State=B@0.312 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10858] State=B@0.314 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10859] State=B@0.316 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10860] State=B@0.318 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10861] State=B@0.320 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10862] State=B@0.322 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10863] State=B@0.324 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10864] State=B@0.326 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.92
[F:10865] State=B@0.328 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10866] State=B@0.330 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10867] State=B@0.332 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10868] State=B@0.334 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10869] State=B@0.336 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10870] State=B@0.338 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10871] State=B@0.340 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10872] State=B@0.342 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10873] State=B@0.344 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10874] State=B@0.346 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10875] State=B@0.348 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10876] State=B@0.350 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10877] State=B@0.352 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10878] State=B@0.354 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.93
[F:10879] State=B@0.356 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10880] State=B@0.358 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10881] State=B@0.360 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10882] State=B@0.361 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10883] State=B@0.363 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10884] State=B@0.365 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10885] State=B@0.367 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10886] State=B@0.369 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10887] State=B@0.371 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10888] State=B@0.373 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10889] State=B@0.375 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10890] State=B@0.377 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10891] State=B@0.379 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.94
[F:10892] State=B@0.381 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10893] State=B@0.383 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10894] State=B@0.385 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10895] State=B@0.387 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10896] State=B@0.388 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10897] State=B@0.391 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10898] State=B@0.393 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10899] State=B@0.395 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10900] State=B@0.396 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10901] State=B@0.398 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10902] State=B@0.400 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10903] State=B@0.402 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
[F:10904] State=B@0.405 InTrans=False Next=- | ComboStep=2 IsAtk=True Buf=False CanBuf=False ScriptStep=2 | Base=Idle@3.95
